,File,Line,Index,Context
108,Zgornji_Otok.html,65,1477,"aerial photos, and other data for this location"">4"
109,Zgornji_Otok.html,69,448,"_of_Slovenia.svg.png 2x"" data-file-width=""1200"" da"
110,Zgornji_Otok.html,69,471,""" data-file-width=""1200"" data-file-height=""600"" />"
111,Zgornji_Otok.html,211,508,"te_Radovljica_si.png 2x"" data-file-width=""300"" dat"
112,Zgornji_Otok.html,211,530,"x"" data-file-width=""300"" data-file-height=""201"" />"
113,Zgornji_Otok.html,260,18,
114,Zgornji_Otok.html,262,465,"_of_Slovenia.svg.png 2x"" data-file-width=""620"" dat"
115,Zgornji_Otok.html,262,487,"x"" data-file-width=""620"" data-file-height=""374"" />"
116,Zgornji_Otok.html,311,40,"tlinks"" class=""catlinks"" data-mw=""interface""><div "
117,Zgornji_Otok.html,311,1091,"egory:Coordinates_on_Wikidata"" title=""Category:Coo"
118,Zgornji_Otok.html,311,1132,"egory:Coordinates on Wikidata"">Coordinates on Wiki"
119,Zgornji_Otok.html,311,1157,"data"">Coordinates on Wikidata</a></li><li><a href="
120,Zgornji_Otok.html,394,999,"<a href=""https://www.wikidata.org/wiki/Q2136008"" t"
121,Zgornji_Otok.html,394,1048,"title=""Link to connected data repository item [g]"""
122,Zgornji_Otok.html,394,1092,"m [g]"" accesskey=""g"">Wikidata item</a></li><li id="
123,Zgornji_Otok.html,411,125,"<a href=""https://www.wikidata.org/wiki/Q2136008#si"
124,Blue_Heelers_(season_8).html,49,406,"of_Australia.svg.png 2x"" data-file-width=""1280"" da"
125,Blue_Heelers_(season_8).html,49,429,""" data-file-width=""1280"" data-file-height=""640"" />"
126,Blue_Heelers_(season_8).html,79,29,"le class=""plainlinks metadata ambox ambox-content "
127,Blue_Heelers_(season_8).html,82,429,"iki_letter_w.svg.png 2x"" data-file-width=""44"" data"
128,Blue_Heelers_(season_8).html,82,450,"2x"" data-file-width=""44"" data-file-height=""44"" /><"
129,Blue_Heelers_(season_8).html,105,29,"le class=""plainlinks metadata ambox mbox-small-lef"
130,Blue_Heelers_(season_8).html,107,488,"er_w_cropped.svg.png 2x"" data-file-width=""44"" data"
131,Blue_Heelers_(season_8).html,107,509,"2x"" data-file-width=""44"" data-file-height=""31"" /><"
132,Blue_Heelers_(season_8).html,125,29,"le class=""plainlinks metadata ambox mbox-small-lef"
133,Blue_Heelers_(season_8).html,127,488,"er_w_cropped.svg.png 2x"" data-file-width=""44"" data"
134,Blue_Heelers_(season_8).html,127,509,"2x"" data-file-width=""44"" data-file-height=""31"" /><"
135,Blue_Heelers_(season_8).html,133,29,"le class=""plainlinks metadata ambox mbox-small-lef"
136,Blue_Heelers_(season_8).html,135,488,"er_w_cropped.svg.png 2x"" data-file-width=""44"" data"
137,Blue_Heelers_(season_8).html,135,509,"2x"" data-file-width=""44"" data-file-height=""31"" /><"
138,Blue_Heelers_(season_8).html,141,29,"le class=""plainlinks metadata ambox mbox-small-lef"
139,Blue_Heelers_(season_8).html,143,488,"er_w_cropped.svg.png 2x"" data-file-width=""44"" data"
140,Blue_Heelers_(season_8).html,143,509,"2x"" data-file-width=""44"" data-file-height=""31"" /><"
141,Blue_Heelers_(season_8).html,660,421,"of_Australia.svg.png 2x"" data-file-width=""1280"" da"
142,Blue_Heelers_(season_8).html,660,444,""" data-file-width=""1280"" data-file-height=""640"" />"
143,Blue_Heelers_(season_8).html,695,421,"of_Australia.svg.png 2x"" data-file-width=""1280"" da"
144,Blue_Heelers_(season_8).html,695,444,""" data-file-width=""1280"" data-file-height=""640"" />"
145,Blue_Heelers_(season_8).html,730,421,"of_Australia.svg.png 2x"" data-file-width=""1280"" da"
146,Blue_Heelers_(season_8).html,730,444,""" data-file-width=""1280"" data-file-height=""640"" />"
147,Blue_Heelers_(season_8).html,739,450,"kiquote-logo.svg.png 2x"" data-file-width=""300"" dat"
148,Blue_Heelers_(season_8).html,739,472,"x"" data-file-width=""300"" data-file-height=""355"" />"
149,Blue_Heelers_(season_8).html,886,40,"tlinks"" class=""catlinks"" data-mw=""interface""><div "
150,Blue_Heelers_(season_8).html,969,1043,"<a href=""https://www.wikidata.org/wiki/Q4929206"" t"
151,Blue_Heelers_(season_8).html,969,1092,"title=""Link to connected data repository item [g]"""
152,Blue_Heelers_(season_8).html,969,1136,"m [g]"" accesskey=""g"">Wikidata item</a></li><li id="
153,Blue_Heelers_(season_8).html,986,124,"<a href=""https://www.wikidata.org/wiki/Q4929206#si"
154,Taggen_Nunatak.html,6,506,"tem"",""Coordinates on Wikidata"",""All stub articles"""
155,Taggen_Nunatak.html,44,302,"24px-PD-icon.svg.png 2x"" data-file-width=""196"" dat"
156,Taggen_Nunatak.html,44,324,"x"" data-file-width=""196"" data-file-height=""196"" />"
157,Taggen_Nunatak.html,44,1395,"aerial photos, and other data for this location""><"
158,Taggen_Nunatak.html,44,1640,"aerial photos, and other data for this location"">7"
159,Taggen_Nunatak.html,46,18,
160,Taggen_Nunatak.html,48,481,"ud_Land_stub_map.png 2x"" data-file-width=""291"" dat"
161,Taggen_Nunatak.html,48,503,"x"" data-file-width=""291"" data-file-height=""281"" />"
162,Taggen_Nunatak.html,93,40,"tlinks"" class=""catlinks"" data-mw=""interface""><div "
163,Taggen_Nunatak.html,93,1079,"egory:Coordinates_on_Wikidata"" title=""Category:Coo"
164,Taggen_Nunatak.html,93,1120,"egory:Coordinates on Wikidata"">Coordinates on Wiki"
165,Taggen_Nunatak.html,93,1145,"data"">Coordinates on Wikidata</a></li><li><a href="
166,Taggen_Nunatak.html,176,1007,"<a href=""https://www.wikidata.org/wiki/Q7675227"" t"
167,Taggen_Nunatak.html,176,1056,"title=""Link to connected data repository item [g]"""
168,Taggen_Nunatak.html,176,1100,"m [g]"" accesskey=""g"">Wikidata item</a></li><li id="
169,Taggen_Nunatak.html,193,125,"<a href=""https://www.wikidata.org/wiki/Q7675227#si"
170,Henri_BraqueniC3A9.html,43,102,"le class=""plainlinks metadata ambox ambox-style am"
171,Henri_BraqueniC3A9.html,46,512,"uestion_mark.svg.png 2x"" data-file-width=""48"" data"
172,Henri_BraqueniC3A9.html,46,533,"2x"" data-file-width=""48"" data-file-height=""48"" /><"
173,Henri_BraqueniC3A9.html,92,40,"tlinks"" class=""catlinks"" data-mw=""interface""><div "
174,Henri_BraqueniC3A9.html,175,1031,"<a href=""https://www.wikidata.org/wiki/Q5715343"" t"
175,Henri_BraqueniC3A9.html,175,1080,"title=""Link to connected data repository item [g]"""
176,Henri_BraqueniC3A9.html,175,1124,"m [g]"" accesskey=""g"">Wikidata item</a></li><li id="
177,Henri_BraqueniC3A9.html,192,125,"<a href=""https://www.wikidata.org/wiki/Q5715343#si"
178,Vrila.html,6,539,"ext"",""Coordinates on Wikidata"",""All stub articles"""
179,Vrila.html,57,698,"location_map.svg.png 2x"" data-file-width=""1063"" da"
180,Vrila.html,57,721,""" data-file-width=""1063"" data-file-height=""1014"" /"
181,Vrila.html,59,378,"12px-Red_pog.svg.png 2x"" data-file-width=""64"" data"
182,Vrila.html,59,399,"2x"" data-file-width=""64"" data-file-height=""64"" /><"
183,Vrila.html,69,348,"aerial photos, and other data for this location""><"
184,Vrila.html,69,593,"aerial photos, and other data for this location"">4"
185,Vrila.html,73,499,"_Herzegovina.svg.png 2x"" data-file-width=""800"" dat"
186,Vrila.html,73,521,"x"" data-file-width=""800"" data-file-height=""400"" />"
187,Vrila.html,99,435,"aerial photos, and other data for this location""><"
188,Vrila.html,99,680,"aerial photos, and other data for this location"">4"
189,Vrila.html,100,18,
190,Vrila.html,102,649,"on_map_Canton_10.png 2x"" data-file-width=""1600"" da"
191,Vrila.html,102,672,""" data-file-width=""1600"" data-file-height=""1520"" /"
192,Vrila.html,151,40,"tlinks"" class=""catlinks"" data-mw=""interface""><div "
193,Vrila.html,151,1181,"egory:Coordinates_on_Wikidata"" title=""Category:Coo"
194,Vrila.html,151,1222,"egory:Coordinates on Wikidata"">Coordinates on Wiki"
195,Vrila.html,151,1247,"data"">Coordinates on Wikidata</a></li><li><a href="
196,Vrila.html,234,971,"<a href=""https://www.wikidata.org/wiki/Q3038859"" t"
197,Vrila.html,234,1020,"title=""Link to connected data repository item [g]"""
